id;category;question;option_0;option_1;option_2;option_3;selected_score
1;Ideen- und Teamfindung;Wie weit ist die Produktidee entwickelt?;Bisher gibt es noch keine Produktidee.;Es gibt eine erste Produktidee, sie ist aber noch nicht ausgearbeitet.;Die Idee ist klar formuliert, internEs gibt eine klare Vorstellung, was unser Produkt sein soll. besprochen und wird aktiv verfolgt.;Die Produktidee wurde durch Marktanalysen oder Nutzerfeedback validiert und gegebenenfalls angepasst.;
2;Ideen- und Teamfindung;Inwiefern sind die erforderlichen Kompetenzen im Team vorhanden?;Das muss noch überprüft werden.;Es gibt erste Überlegungen, welche Kompetenzen benötigt werden.;Es gibt einen konkreten Plan der Zuständigkeiten basierend auf der Erfahrung der Teammitglieder.;Das Team hat alle benötigten Kompetenzen und erweitert aktiv sein Wissen.;
3;Ideen- und Teamfindung;Wie stark sind Motivation und Passion im Team erkennbar?;Das ist noch unklar.;Es ist ungefähr bekannt, wo die Motivation und Passion jedes Einzelnen liegen.;Im Team sind die konkrete Motivation und Passion jedes Einzelnen bekannt.;Wir fördern aktiv die Motivation und Passion im Team.;
4;Ideen- und Teamfindung;Wie klar ist das Mission Statement definiert worden?;Das gibt es noch nicht.;Es besteht eine erste Überlegung dazu, die Ausarbeitung fehlt noch.;Das Mission Statement wurde klar definiert.;Das Mission Statement wurde durch Team-Feedback validiert und gegebenenfalls angepasst.;
5;Ideen- und Teamfindung;Wie klar ist die Zielgruppe definiert?;Sie wurde noch nicht definiert.;Es besteht eine erste Überlegung, wer unsere Zielgruppe ist.;Wir haben eine klare Definition unserer Zielgruppe.;Die Definition unserer Zielgruppe wurde durch Nutzeranalysen validiert und gegebenenfalls angepasst.;
6;Ideen- und Teamfindung;Inwiefern sind die Bedürfnisse der Zielgruppe bekannt?;Die Bedürfnisse sind noch nicht bekannt.;Es besteht eine erste Vorstellung davon, was die Bedürfnisse sein könnten.;Es besteht eine klare Definition der Bedürfnisse unserer Zielgruppe.;Die Bedürfnisse unserer Zielgruppe wurden durch Interviews validiert und gegebenenfalls angepasst.;
7;Ideen- und Teamfindung;Wie differenziert wurde die Marktsegmentierung vorgenommen?;Das wurde noch nicht angegangen.;Es gibt erste Überlegungen zur Segmentierung.;Der Markt wurde klar segmentiert.;Die Marktsegmentierung wurde durch Marktanalysen validiert und gegebenenfalls angepasst.;
8;Ideen- und Teamfindung;Wie weit ist die Planung bis zur Markteinführung?;Es besteht noch kein Zeitplan.;Es gibt einen groben Zeitplan.;Es gibt einen konkreten Zeitplan mit Milestones.;Der Zeitplan wurde durch Machbarkeitsanalysen validiert und gegebenenfalls angepasst.;
9;Ideen- und Teamfindung;Wie gut ist der aktuelle Zeitpunkt für eine Markteinführung begründet?;Das muss noch gemacht werden.;Es ist ungefähr bekannt, wie gut der aktuelle Zeitpunkt ist.;Es gibt konkrete Informationen darüber, wie gut der aktuelle Zeitpunkt ist.;Der aktuelle Zeitpunkt wurde durch Marktanalysen validiert und gegebenenfalls angepasst.;
10;Chancen Validierung;Wurde ein innovatives und werthaltiges Angebot entwickelt? (Value Proposition);Das wurde noch nicht angegangen.;Die Entwicklung ist im Gange, aber noch nicht abgeschlossen.;Es wurde eine konkrete Value Proposition entwickelt.;Die Value Proposition wurde validiert und gegebenenfalls angepasst.;
11;Chancen Validierung;Besteht ein Problem-Solution-Fit?;Das wurde noch nicht überprüft.;Es wurden erste Überlegungen angestellt, ob unser Produkt wirklich ein Kundenproblem löst.;Es ist klar aufzeigbar, dass unser Produkt ein konkretes Problem löst.;Der Problem-Solution-Fit wurde extern validiert und gegebenenfalls angepasst.;
12;Chancen Validierung;Inwiefern wurde eine Customer Validation durchgeführt?;Das wurde noch nicht angegangen.;Erste Rückmeldungen wurden von potenziellen Kunden eingeholt.;Der Prototyp wurde mit einer breiten Zielgruppe getestet.;Der Prototyp mit einer breiten Zielgruppe getestet und daraufhin gezielt angepasst.;
13;Chancen Validierung;Wie weit ist die Entwicklung des Geschäftsmodells?;Das wurde noch nicht angegangen.;Es bestehen erste Überlegungen zu einem Geschäftsmodell.; Es gibt eine klare Definition des Geschäftsmodells.;Das Geschäftsmodell wurde validiert und gegebenenfalls angepasst.;
14;Chancen Validierung;Inwiefern gibt es eine Finanzplanung (Fördermittel / Investoren)?;Das wurde noch nicht angegangen.;Erste Überlegungen zur Finanzplanung wurden getroffen.;Es gibt einen ausgearbeiteten Finanzplan.;Der Finanzplan wurde validiert und gegebenenfalls angepasst.;
15;Chancen Validierung;Inwiefern gibt es eine Finanzplanung (Fördermittel / Investoren)?;Das wurde noch nicht angegangen.;Erste Überlegungen zur Finanzplanung wurden getroffen.;Es gibt einen ausgearbeiteten Finanzplan.;Der Finanzplan wurde validiert und gegebenenfalls angepasst.;
16;Chancen Validierung;Inwiefern gibt es eine Finanzplanung (Fördermittel / Investoren)?;Das wurde noch nicht angegangen.;Erste Überlegungen zur Finanzplanung wurden getroffen.;Es gibt einen ausgearbeiteten Finanzplan.;Der Finanzplan wurde validiert und gegebenenfalls angepasst.;
17;Marktgerechte Lösungsfindung;Inwiefern gibt es eine Finanzplanung (Fördermittel / Investoren)?;Das wurde noch nicht angegangen.;Erste Überlegungen zur Finanzplanung wurden getroffen.;Es gibt einen ausgearbeiteten Finanzplan.;Der Finanzplan wurde validiert und gegebenenfalls angepasst.;
18;Übergang zum Markt-Start;Inwiefern gibt es eine Finanzplanung (Fördermittel / Investoren)?;Das wurde noch nicht angegangen.;Erste Überlegungen zur Finanzplanung wurden getroffen.;Es gibt einen ausgearbeiteten Finanzplan.;Der Finanzplan wurde validiert und gegebenenfalls angepasst.;
19;Markteintritt und Wachstum;Inwiefern gibt es eine Finanzplanung (Fördermittel / Investoren)?;Das wurde noch nicht angegangen.;Erste Überlegungen zur Finanzplanung wurden getroffen.;Es gibt einen ausgearbeiteten Finanzplan.;Der Finanzplan wurde validiert und gegebenenfalls angepasst.;
